,Name,RAdeg,DEdeg,z,MSZ,MCXC,RedMAPPer
250,PSZ2 G059.81-39.09,329.0382714,1.4209954,0.224,4.991002,            ,RMJ215608.6+012327.4
251,PSZ2 G060.00-18.68,312.587397,13.7468719,0.221,4.584714,            ,                    
252,PSZ2 G060.10+15.59,280.2784059,30.9322466,0.19,4.666568,            ,                    
253,PSZ2 G060.13+11.44,284.6834151,29.2856732,0.224,5.528235,            ,                    
254,PSZ2 G060.16+64.50,221.0737493,35.9376364,0.360746,4.999158,            ,RMJ144415.9+355713.1
255,PSZ2 G060.55+27.00,267.5744571,35.0760545,0.1712,3.480424,J1750.2+3504,                    
256,PSZ2 G061.47-14.69,310.0451804,17.2001385,0.169,3.768758,J2040.1+1712,                    
257,PSZ2 G061.75+88.11,194.727,28.0230805,0.043605,3.402263,            ,                    
258,PSZ2 G062.44-46.43,335.9856665,-1.616912,0.0906,3.46684,J2223.8-0138,RMJ222356.9-013459.7
259,PSZ2 G062.46-21.35,316.2128914,14.0347058,0.1615,4.334959,J2104.9+1401,                    
260,PSZ2 G062.94+43.69,247.1564639,39.560224,0.0299,2.872406,J1628.6+3932,RMJ162838.2+393304.5
261,PSZ2 G063.38+53.44,234.5072691,39.4147313,0.422033,6.239583,            ,RMJ153754.2+392444.8
262,PSZ2 G063.80+11.42,286.4733475,32.5458878,0.426,6.208445,            ,                    
263,PSZ2 G063.91-16.75,313.2397641,17.8935643,0.393,5.610311,            ,                    
264,PSZ2 G064.11-53.72,342.2957577,-5.4467455,0.245236,4.475352,            ,RMJ224906.4-052710.7
265,PSZ2 G064.98+16.71,281.1498974,35.6970266,-1.0,0.0,            ,                    
266,PSZ2 G065.28+44.53,246.0750676,41.2470229,0.1825,3.896934,J1624.2+4114,RMJ162414.0+411437.6
267,PSZ2 G065.32-64.84,351.3188653,-12.1252103,0.0852,2.483537,J2325.3-1207,                    
268,PSZ2 G065.35-08.01,306.5168037,24.1352004,-1.0,0.0,            ,                    
269,PSZ2 G065.45+78.10,204.8179927,33.0101594,0.273,4.06576,            ,                    
