,MCXC,OName,AName,RAdeg,DEdeg,z,M500
574,J0916.1+1736,RXC J0916.1+1736  ,                                                      ,139.029,17.602,0.0292,0.3303
575,J0917.8+5143,RXC J0917.8+5143  ,A0773                                                 ,139.462,51.725,0.2172,5.7894
576,J0918.1-1205,RXCJ0918.1-1205   ,A0780                                                 ,139.527,-12.093,0.0539,3.6243
577,J0919.8+3345,RXC J0919.8+3345  ,A0779                                                 ,139.955,33.76,0.023,0.2579
578,J0920.0+0102,RXC J0920.0+0102  ,MKW 1s                                                ,140.002,1.04,0.0175,0.1344
579,J0920.3+7350,RXC J0920.3+7350  ,A0765                                                 ,140.094,73.837,0.133,1.5416
580,J0920.4+3030,RXC J0920.4+3030  ,A0781                                                 ,140.109,30.515,0.2952,4.0341
581,J0921.1+4538,RXC J0921.1+4538  ,3C 219                                                ,140.286,45.644,0.1745,2.1881
582,J0921.2+4528,BVH2007 92        ,VMF98 70                                              ,140.305,45.479,0.315,1.648
583,J0923.1+2217,RXC J0923.1+2217  ,UGC 04991                                             ,140.783,22.298,0.0316,0.2684
584,J0924.0+1410,RXC J0924.0+1410  ,A0795                                                 ,141.024,14.168,0.1357,3.8079
585,J0926.6+1242,BVH2007 93        ,VMF98 71                                              ,141.652,12.716,0.489,2.0531
586,J0926.6+1741,RXC J0926.6+1741  ,A0797                                                 ,141.67,17.69,0.117,1.8733
587,J0927.1+5327,ZwCl2379          ,ZwCl2379                                              ,141.795,53.45,0.2052,3.6924
588,J0928.0+7446,RXC J0928.0+7446  ,A0786                                                 ,142.021,74.783,0.124,1.7372
589,J0928.1+2032,RXC J0928.1+2032  ,A0801                                                 ,142.033,20.542,0.192,2.4169
590,J0928.6+3747,RXC J0928.6+3747  ,A0800                                                 ,142.157,37.799,0.2472,3.1464
591,J0933.4+3403,RXC J0933.4+3403  ,UGC 05088                                             ,143.354,34.052,0.0269,0.2056
592,J0935.4+0729,RXC J0935.4+0729  ,A0830                                                 ,143.87,7.492,0.261,3.1897
593,J0937.1+6116,WARP J0937.1+6116 ,ZWCL 0933.6+6127                                      ,144.276,61.283,0.204,0.54
594,J0937.9-2020,RXCJ0937.9-2020   ,S0617                                                 ,144.499,-20.346,0.0344,0.49
595,J0938.2+7553,RXC J0938.2+7553  ,A0814                                                 ,144.567,75.887,0.1503,1.4196
596,J0941.0+3843,WARP J0941.0+3843 ,                                                      ,145.252,38.719,0.287,0.6885
597,J0942.0+0857,RXC J0942.0+0857  ,A0854                                                 ,145.515,8.963,0.206,3.9492
598,J0942.2+1523,RXC J0942.2+1522  ,A0853                                                 ,145.561,15.387,0.1664,2.8846
599,J0942.3+8111,WARP J0942.3+8111 ,                                                      ,145.588,81.186,0.545,2.6505
600,J0943.1+4659,RXC J0943.1+4659  ,A0851                                                 ,145.779,46.998,0.4069,3.9698
601,J0943.4-7619,RXC J0943.4-7619  ,PKS 0943-76                                           ,145.854,-76.332,0.199,4.5079
602,J0943.5+1640,BVH2007 94        ,VMF98 73                                              ,145.885,16.667,0.256,1.2867
603,J0943.7+1644,BVH2007 95        ,VMF98 74                                              ,145.938,16.737,0.18,0.8198
604,J0944.0+6424,RXC J0944.0+6424  ,A0845                                                 ,146.007,64.412,0.12,1.6389
605,J0944.1-2116,RXCJ0944.1-2116   ,                                                      ,146.043,-21.278,0.0077,0.0725
606,J0944.6-2633,RXCJ0944.6-2633   ,                                                      ,146.152,-26.566,0.1421,3.6917
607,J0945.4-0839,RXCJ0945.4-0839   ,A0868                                                 ,146.352,-8.654,0.1535,3.3724
608,J0946.5-1409,RX J0946.5-1410   ,                                                      ,146.637,-14.164,0.23,0.5083
609,J0947.2+7623,MACSJ0947.2+7623  ,RBS0797                                               ,146.804,76.387,0.345,8.5
610,J0947.7+0741,RX J0947.7+0741   ,VMF98 75                                              ,146.941,7.688,0.625,2.2845
611,J0947.9+0730,RX J0947.9+0730   ,RX J0947.9+0730 (SSHARC)                              ,146.99,7.507,0.128,0.3038
612,J0948.6-8327,RXCJ0948.6-8327   ,                                                      ,147.164,-83.465,0.1982,3.4323
613,J0949.8+1707,RXC J0949.8+1707  ,RX J0949.8+1708                                       ,147.47,17.13,0.3826,7.9037
614,J0950.1+7033,BVH2007 96        ,                                                      ,147.532,70.566,0.21,1.2477
615,J0951.7-0128,RX J0951.7-0128   ,VMF98 76                                              ,147.946,-1.476,0.568,1.4614
616,J0952.7+5153,ZwCl2701          ,ZwCl2701                                              ,148.198,51.891,0.214,5.2717
617,J0953.2-1558,RXCJ0953.2-1558   ,                                                      ,148.301,-15.981,0.0302,0.4177
618,J0953.6+7054,BVH2007 97        ,A0875                                                 ,148.4,70.908,0.185,2.0027
619,J0953.7+6947,BVH2007 98        ,                                                      ,148.436,69.791,0.214,0.8494
620,J0956.0+4107,BVH2007 99        ,VMF98 79                                              ,149.012,41.119,0.587,2.307
621,J0956.4-1004,RXCJ0956.4-1004   ,A0901                                                 ,149.11,-10.07,0.1634,5.2302
622,J0957.8+6534,RX J0957.8+6534   ,VMF98 80                                              ,149.472,65.575,0.53,1.6192
623,J0958.0-2650,MS0955.7-2635     ,                                                      ,149.507,-26.838,0.145,1.9096
624,J0958.1+2346,RXC J0958.1+2346  ,                                                      ,149.543,23.782,0.1471,1.974
625,J0958.2+5516,BVH2007 100       ,"VMF98 81, A0899                                       ",149.554,55.268,0.214,1.6286
626,J0958.3+4702,BVH2007 101       ,                                                      ,149.58,47.038,0.39,2.2502
627,J0958.3-1103,RXCJ0958.3-1103   ,A0907                                                 ,149.592,-11.06,0.1669,5.0282
628,J0959.7+2223,RXC J0959.7+2223  ,A0908                                                 ,149.939,22.393,0.244,3.0604
629,J1000.5+4409,RXC J1000.5+4409  ,RXJ1000.5+4409                                        ,150.127,44.154,0.154,2.5495
630,J1002.1+6858,BVH2007 102       ,                                                      ,150.532,68.98,0.5,2.3024
631,J1002.6+3241,RXC J1002.6+3241  ,Zw 0959.6+3257                                        ,150.661,32.7,0.0499,0.944
632,J1002.6-0808,RX J1002.6-0808   ,VMF98 83                                              ,150.668,-8.146,0.524,1.5235
633,J1003.0+3254,RXC J1003.0+3254  ,                                                      ,150.767,32.908,0.4161,4.2551
634,J1003.1-1925,BVH2007 104       ,                                                      ,150.777,-19.43,0.243,1.3539
635,J1003.1+6709,RXC J1003.1+6709  ,A0910                                                 ,150.783,67.158,0.206,3.3203
636,J1006.6+2554,RXC J1006.6+2554  ,A0923                                                 ,151.665,25.91,0.1162,2.106
637,J1006.8+1223,MS1004.2+1238     ,                                                      ,151.723,12.393,0.166,1.2028
638,J1007.1-2031,BVH2007 105       ,                                                      ,151.785,-20.524,0.105,0.3427
639,J1007.8+0031,RXC J1007.8+0031  ,A0933                                                 ,151.954,0.517,0.096,1.0893
640,J1008.7+5342,WARP J1008.7+5342 ,                                                      ,152.199,53.701,0.872,2.0401
641,J1008.7+1147,RXC J1008.7+1147  ,Zw 1006.1+1201                                        ,152.199,11.793,0.2245,3.8829
642,J1009.3+7110,RXC J1009.3+7110  ,A0914                                                 ,152.335,71.175,0.1927,3.3654
643,J1010.2+5430,BVH2007 106       ,VMF98 84                                              ,152.566,54.503,0.045,0.1548
644,J1010.2+5429,RXC J1010.2+5429  ,RIXOS F231-526                                        ,152.567,54.488,0.047,0.405
645,J1010.5-1239,MS1008.1-1224     ,                                                      ,152.634,-12.665,0.3062,2.8384
646,J1010.9+5557,WARP J1010.9+5557 ,A0935                                                 ,152.743,55.963,0.171,0.3491
647,J1011.0+5358,WARP J1011.0+5358 ,                                                      ,152.751,53.968,0.372,1.1079
648,J1011.0+5339,RX J1011.0+5339   ,VMF98 85                                              ,152.771,53.658,0.329,0.6786
649,J1011.3+5333,WARP J1011.3+5333 ,                                                      ,152.846,53.563,0.39,0.9237
650,J1011.4+5450,BVH2007 107       ,VMF98 86                                              ,152.856,54.835,0.294,1.374
651,J1013.4-0136,BVH2007 108       ,                                                      ,153.366,-1.612,0.276,1.3867
652,J1013.5-1350,RXCJ1013.5-1350   ,                                                      ,153.4,-13.842,0.1517,2.9492
653,J1013.6+4933,BVH2007 109       ,VMF98 87                                              ,153.404,49.551,0.133,0.8937
654,J1013.6-0054,RXCJ1013.6-0054   ,A0957                                                 ,153.418,-0.914,0.0445,1.1377
655,J1013.7-0006,RXCJ1013.7-0006   ,A0954                                                 ,153.437,-0.108,0.0927,1.5413
656,J1015.1+4931,RX J1015.1+4931   ,VMF98 88                                              ,153.785,49.526,0.383,1.2769
657,J1016.3+3338,RXC J1016.3+3338  ,A0961                                                 ,154.094,33.635,0.124,2.2642
658,J1016.6+2448,RXC J1016.6+2448  ,A0964                                                 ,154.15,24.808,0.0811,1.1353
659,J1017.0+3902,RXC J1017.0+3902  ,A0963                                                 ,154.26,39.048,0.206,4.7297
660,J1017.3-1040,RXCJ1017.3-1040   ,A0970                                                 ,154.348,-10.677,0.0586,1.8484
661,J1017.5+5934,RXC J1017.5+5934  ,A0959                                                 ,154.398,59.567,0.353,7.6611
662,J1018.0+2154,BVH2007 110       ,                                                      ,154.504,21.91,0.24,1.2055
663,J1019.6+3920,WARP J1019.6+3920 ,                                                      ,154.905,39.342,0.373,0.8982
664,J1019.9+4059,RXC J1019.9+4059  ,A0971                                                 ,154.999,40.987,0.0922,1.4331
665,J1020.2+3913,WARP J1020.2+3913 ,RX J1020.0+3915 (BSHARC2)                             ,155.066,39.229,0.1463,0.4088
666,J1020.4-0631,RXCJ1020.4-0631   ,A0978                                                 ,155.12,-6.52,0.054,0.8481
667,J1020.5+3922,WARP J1020.5+3922 ,RX J1020.2+3926 (BSHARC2)                             ,155.127,39.38,0.143,0.3323
668,J1020.7+3831,BVH2007 NS 4      ,                                                      ,155.189,38.524,0.053,0.3232
669,J1020.9+5132,WARP J1020.9+5132 ,                                                      ,155.247,51.549,0.5019,1.16
670,J1022.0+3830,RXC J1022.0+3830  ,RXJ1022.1+3830                                        ,155.52,38.512,0.0491,0.7013
671,J1022.5+5006,RXC J1022.5+5006  ,A0980                                                 ,155.628,50.102,0.158,3.8822
672,J1023.1+4124,WARP J1023.1+4124 ,                                                      ,155.775,41.413,0.232,0.6427
673,J1023.3+5948,RXC J1023.3+5948  ,A0983                                                 ,155.829,59.808,0.2055,2.1364
674,J1023.6+0411,RXC J1023.6+0411  ,Zw 1021.0+0426                                        ,155.912,4.187,0.285,9.7115
675,J1023.6+4907,RXC J1023.6+4907  ,A0990                                                 ,155.922,49.133,0.144,4.2256
676,J1023.8-2715,RXCJ1023.8-2715   ,A3444                                                 ,155.962,-27.258,0.2542,7.7124
677,J1024.3+6804,BVH2007 NS 5      ,A0981                                                 ,156.08,68.082,0.201,1.6292
678,J1025.0+4750,RXC J1025.0+4750  ,A1003                                                 ,156.274,47.837,0.052,0.4213
679,J1025.9+1241,RXC J1025.9+1241  ,ZwCl3179                                              ,156.483,12.685,0.1434,3.4836
680,J1027.1+3908,BVH2007 111       ,                                                      ,156.795,39.135,0.338,2.5996
681,J1027.9-0647,RXCJ1027.9-0647   ,A1023                                                 ,156.999,-6.796,0.1176,1.9936
682,J1028.3+0346,RXC J1028.3+0346  ,A1024                                                 ,157.088,3.769,0.073,0.9041
683,J1031.7+3502,RXC J1031.7+3502  ,A1033                                                 ,157.932,35.049,0.1259,3.594
684,J1032.2+4015,RXC J1032.2+4015  ,A1035                                                 ,158.062,40.265,0.079,1.7119
685,J1033.8+5703,BVH2007 112       ,VMF98 89                                              ,158.466,57.053,0.0463,0.128
686,J1034.9+3041,RXC J1034.9+3041  ,A1045                                                 ,158.747,30.694,0.1407,2.8267
687,J1036.1+5713,BVH2007 113       ,VMF98 90                                              ,159.047,57.225,0.203,0.8825
688,J1036.6-2731,RXCJ1036.6-2731   ,A1060                                                 ,159.174,-27.524,0.0126,0.9944
689,J1038.0+4146,BVH2007 114       ,A1056                                                 ,159.508,41.777,0.125,0.6214
690,J1038.4-2454,RXCJ1038.4-2454   ,                                                      ,159.601,-24.903,0.123,2.4054
691,J1039.4+0510,RXC J1039.4+0510  ,A1066                                                 ,159.866,5.18,0.07,1.5924
692,J1039.5+3947,BVH2007 115       ,                                                      ,159.88,39.794,0.0926,0.3522
693,J1039.7-0841,RXCJ1039.7-0841   ,A1069                                                 ,159.935,-8.684,0.065,1.4622
694,J1040.7+3956,RXC J1040.7+3956  ,A1068                                                 ,160.183,39.948,0.1372,4.1023
695,J1040.7-7047,RXC J1040.7-7047  ,                                                      ,160.187,-70.797,0.061,1.7603
696,J1041.5-1123,RXCJ1041.5-1123   ,                                                      ,160.392,-11.389,0.0839,1.3071
697,J1042.4-0008,BVH2007 116       ,                                                      ,160.601,-0.138,0.139,0.8101
698,J1044.5-0704,RXCJ1044.5-0704   ,A1084                                                 ,161.138,-7.073,0.1342,4.5308
699,J1047.5+1513,RXC J1047.5+1513  ,A1095                                                 ,161.885,15.233,0.2108,2.7446
700,J1048.0-1124,BVH2007 117       ,VMF98 91                                              ,162.003,-11.403,0.065,0.224
701,J1048.7+2214,RXC J1048.7+2214  ,A1100                                                 ,162.19,22.24,0.045,0.4046
702,J1049.0+5424,RX J1049.0+5424   ,VMF98 92                                              ,162.261,54.4,0.251,0.7337
703,J1049.7+3308,WARP J1049.7+3308 ,                                                      ,162.437,33.144,0.23,0.6619
704,J1050.4-1250,RXCJ1050.4-1250   ,USGC S152                                             ,162.606,-12.846,0.0155,0.4109
705,J1050.5-0236,RXCJ1050.5-0236   ,A1111                                                 ,162.648,-2.6,0.1651,3.1422
706,J1050.6-2405,RXCJ1050.6-2405   ,                                                      ,162.651,-24.096,0.2037,3.926
707,J1053.3+5720,RX J1053.3+5720   ,VMF98 93                                              ,163.327,57.346,0.34,0.4874
708,J1053.7+5452,RXC J1053.7+5452  ,RXJ1053.7+5450                                        ,163.433,54.872,0.0704,1.1937
709,J1053.7+4929,MS1050.7+4946     ,                                                      ,163.434,49.499,0.14,2.5785
710,J1053.8+1650,RXC J1053.8+1650  ,A1126                                                 ,163.451,16.84,0.0852,1.5577
711,J1056.2+4933,RX J1056.2+4933   ,VMF98 94                                              ,164.053,49.553,0.199,0.6924
712,J1056.9-0337,MS1054.4-0321     ,                                                      ,164.248,-3.625,0.8309,3.3929
713,J1057.7+3738,RXC J1057.7+3738  ,                                                      ,164.432,37.635,0.0353,0.261
714,J1058.1+0135,RXCJ1058.1+0135   ,A1139                                                 ,164.543,1.587,0.0398,0.4388
715,J1058.2+0136,BVH2007 118       ,"VMF98 95, A1139                                       ",164.553,1.616,0.0385,0.3823
716,J1058.4+5647,RXC J1058.4+5647  ,A1132                                                 ,164.608,56.792,0.1369,3.9904
717,J1058.8+6223,WARP J1058.8+6223 ,                                                      ,164.71,62.398,0.37,1.1097
718,J1059.9+6421,WARP J1059.9+6421 ,ZWCL 1056.5+6437                                      ,164.997,64.352,0.192,0.5526
719,J1100.8+1033,RXC J1100.8+1033  ,A1142                                                 ,165.204,10.56,0.0353,0.6129
720,J1101.2-2243,RXCJ1101.2-2243   ,A1146                                                 ,165.32,-22.728,0.1416,2.5688
721,J1103.6+3555,WARP J1103.6+3555 ,                                                      ,165.905,35.922,0.775,1.8473
722,J1104.4+3600,WARP J1104.4+3600 ,                                                      ,166.125,36.006,0.497,1.2487
723,J1107.3-2300,RXCJ1107.3-2300   ,S0651                                                 ,166.829,-23.002,0.0639,1.153
724,J1109.3+4133,RXC J1109.3+4133  ,A1173                                                 ,167.328,41.562,0.0763,1.455
725,J1109.7+2145,RXC J1109.7+2145  ,A1177                                                 ,167.429,21.762,0.0319,0.4615
726,J1110.0-2957,BVH2007 119       ,                                                      ,167.519,-29.952,0.2,0.8158
727,J1110.7+2842,A1185             ,A1185                                                 ,167.695,28.706,0.0314,0.5978
728,J1111.6+4050,RXC J1111.6+4050  ,A1190                                                 ,167.91,40.842,0.0794,2.0112
729,J1112.9+1326,RXC J1112.9+1326  ,A1201                                                 ,168.229,13.445,0.169,3.0475
730,J1113.0-2615,WARP J1113.0-2615 ,                                                      ,168.274,-26.26,0.725,1.8657
731,J1113.3+1735,RXC J1113.3+1735  ,A1204                                                 ,168.332,17.594,0.1706,4.2492
732,J1113.3+0231,RXC J1113.3+0231  ,A1205                                                 ,168.336,2.532,0.078,2.0432
733,J1113.8+4017,RX J1113.8+4017   ,A1203                                                 ,168.452,40.289,0.0795,0.5633
734,J1114.1-3811,RXCJ1114.1-3811   ,MS1111.8                                              ,168.55,-38.189,0.1306,3.4886
735,J1114.3+5823,RXC J1114.3+5823  ,Zw 1111.0+5843                                        ,168.599,58.39,0.2065,3.7085
736,J1115.5+5426,RXC J1115.5+5426  ,                                                      ,168.887,54.435,0.0691,1.0484
737,J1115.8+0129,RXCJ1115.8+0129   ,ZwCl3959                                              ,168.975,1.496,0.3499,7.2696
738,J1116.0+2441,RXC J1116.0+2441  ,                                                      ,169.014,24.688,0.1021,1.2838
739,J1116.9+1803,BVH2007 120       ,NGC3607                                               ,169.228,18.056,0.0032,0.0118
740,J1117.2+1744,RX J1117.2+1744   ,VMF98 96                                              ,169.3,17.74,0.305,1.068
741,J1117.4+0743,RX J1117.4+0743   ,VMF98 97                                              ,169.359,7.726,0.477,1.1452
742,J1117.5+1744,BVH2007 121       ,VMF98 98                                              ,169.375,17.746,0.547,2.0778
743,J1117.5+0746,WARP J1117.5+0746 ,RX J111730.1+074618 (RIXOS)                           ,169.375,7.777,0.155,0.4062
744,J1119.4+2106,WARP J1119.4+2106 ,"RX J111927.0+210651 (RIXOS), RX J1119.4+2106 (BSHARC2)",169.864,21.115,0.174,0.5223
745,J1119.7+2126,RX J1119.7+2126   ,VMF98 99                                              ,169.931,21.446,0.061,0.1062
746,J1120.1+4318,BVH2007 122       ,RX J1120.1+4318 (BSHARC)                              ,170.032,43.302,0.6,3.3968
747,J1120.9+2326,BVH2007 123       ,VMF98 100                                             ,170.243,23.443,0.562,2.6529
748,J1121.5+4803,RXC J1121.5+4803  ,A1227                                                 ,170.398,48.063,0.112,1.7522
749,J1121.7+0249,RXC J1121.7+0249  ,SHK 352 f                                             ,170.428,2.818,0.0468,0.9244
750,J1122.2+6712,RXC J1122.2+6712  ,                                                      ,170.56,67.213,0.056,0.4388
751,J1122.3+2419,RXC J1122.3+2419  ,HCG 51                                                ,170.585,24.317,0.0258,0.251
752,J1122.8+0106,RXC J1122.8+0106  ,A1238                                                 ,170.707,1.108,0.072,0.869
753,J1122.8+3407,RXC J1122.8+3407  ,UGC 06394                                             ,170.708,34.123,0.043,0.3886
754,J1123.1+1409,BVH2007 124       ,VMF98 101                                             ,170.794,14.161,0.34,1.5148
755,J1123.2+1935,RXC J1123.2+1935  ,A1235                                                 ,170.805,19.6,0.1042,1.8566
756,J1123.9+2129,RXC J1123.9+2129  ,A1246                                                 ,170.991,21.49,0.1904,4.0552
757,J1124.0-1700,RX J1124.0-1700   ,VMF98 102                                             ,171.016,-17.003,0.407,1.3673
758,J1124.6+4155,BVH2007 125       ,VMF98 103                                             ,171.152,41.932,0.195,1.3125
759,J1124.7+3859,WARP J1124.7+3859 ,                                                      ,171.196,38.995,0.3014,0.816
760,J1125.3+3854,WARP J1125.3+3854 ,                                                      ,171.346,38.902,0.5477,1.2653
761,J1126.9+1706,RXC J1126.9+1706  ,A1264                                                 ,171.748,17.115,0.127,2.419
762,J1127.7+4309,BVH2007 126       ,MS 1125.3+4324                                        ,171.939,43.163,0.344,1.5399
763,J1128.0+7529,RXC J1128.0+7529  ,A1255                                                 ,172.005,75.49,0.165,2.1865
764,J1128.9+4252,BVH2007 127       ,                                                      ,172.226,42.867,0.411,1.7586
765,J1129.8+2347,RXC J1129.8+2347  ,A1272                                                 ,172.468,23.792,0.1371,2.2495
766,J1130.0+3637,RXC J1130.0+3637  ,A1275                                                 ,172.507,36.63,0.06,0.8069
767,J1130.0+2028,RXC J1130.0+2028  ,A1278                                                 ,172.52,20.477,0.129,2.454
768,J1130.0-4213,RXC J1130.0-4213  ,                                                      ,172.523,-42.23,0.155,3.4547
769,J1130.3-1434,RXCJ1130.3-1434   ,A1285                                                 ,172.581,-14.583,0.1068,3.4062
770,J1131.3+3334,RXC J1131.3+3334  ,A1290                                                 ,172.843,33.582,0.2212,3.1308
771,J1131.9-1955,RXCJ1131.9-1955   ,A1300                                                 ,172.985,-19.927,0.3075,7.598
772,J1132.3+5558,RXC J1132.3+5558  ,A1291                                                 ,173.082,55.979,0.0527,0.9561
773,J1132.8+1428,RXC J1132.8+1428  ,A1307                                                 ,173.221,14.469,0.0834,3.0137
